time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-20-32-6f40ab4688462751ccd9194145e96414e6e1a17f0611ad427b4814437f92774b.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-20-35-cbc3f780a73fefaf473b31a6297bd74c9b5689b84c2e8350fe9927720a40205a.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-20-50-cdb2877d83b15306388b618831d44c7e2467257a82c0299d6a2d967b6bb6548e.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-20-59-0032ee0e6cb04f6c1e8e94319e48ccd8dd35d7f18c402ee811fbf0f53fca16c7.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-21-17-e22c9af5da2ad5c9641b47722e4f0a0ea9d30555965a567b2cc992b66b40543e.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-21-28-68bf063c06b6625404625dce7eecd0bcadc8e39127fb0de27e992ad6bf37cdee.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-21-49-049c7a5cf62f39897a31638d3b8e4862197d5821dc709cfd8e195bd538ebbf26.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-21-52-043030dd4566f31af03ec170278f7aaf729c5537cb2308795f2688bb0b228826.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-22-11-9bdc8c1ba52d3dd648b82d32f962db58ba9775c2dfcaa5704d9343f03ef28f60.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-22-40-703ed46d7d1c063db9bff091a126dfcc9ce64fc02ca4d54205dd8c65ed3db4a6.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-22-48-26ee64c926ff260750593138fc933bfc9a0c58a2b930535ba9e4d08f4d39d1fc.plot
